Timestamp,URMS,UMN,UDC,UAC,IRMS,IMN,IDC,IAC,P,S,Q,LAMB,PHI,FU,FI
2024-04-23T11:57:32,229.27,226.88,3.79,229.24,36.83,36.45,0.52,36.83,8444.0,8445.0,113.0,0.9999,0.76,nan,nan
2024-04-23T11:57:34,228.81,226.27,-0.01,228.81,36.73,36.32,-0.09,36.73,8403.0,8403.0,118.0,0.9999,0.8,nan,nan
2024-04-23T11:57:36,229.04,226.66,0.05,229.04,36.73,36.35,-0.11,36.73,8413.0,8413.0,117.0,0.9999,0.79,nan,nan
2024-04-23T11:57:37,229.01,226.66,0.06,229.01,36.72,36.34,-0.07,36.72,8408.0,8409.0,112.0,0.9999,0.76,nan,nan
2024-04-23T11:57:38,229.25,227.05,0.08,229.25,36.75,36.4,-0.1,36.75,8425.0,8426.0,103.0,0.9999,0.7,nan,nan
2024-04-23T11:57:39,229.0,226.7,0.07,229.0,36.7,36.33,-0.11,36.7,8404.0,8404.0,100.0,0.9999,0.68,nan,nan
2024-04-23T11:57:40,229.04,226.77,0.05,229.04,36.7,36.34,-0.08,36.7,8405.0,8406.0,105.0,0.9999,0.71,nan,nan
2024-04-23T11:57:42,229.06,226.81,0.07,229.06,36.68,36.32,-0.1,36.68,8401.0,8402.0,103.0,0.9999,0.7,nan,nan
2024-04-23T11:57:43,229.0,226.77,0.08,229.0,36.67,36.31,-0.11,36.67,8396.0,8397.0,98.0,0.9999,0.72,nan,nan
2024-04-23T11:57:44,229.05,226.86,0.05,229.05,36.67,36.32,-0.12,36.67,8399.0,8400.0,110.0,0.9999,0.75,nan,nan
2024-04-23T11:57:46,229.15,227.08,0.01,229.15,36.69,36.36,-0.11,36.69,8406.0,8406.0,113.0,0.9999,0.77,nan,nan
2024-04-23T11:57:47,228.98,226.82,0.12,228.98,36.66,36.32,-0.1,36.66,8394.0,8394.0,106.0,0.9999,0.72,nan,nan
2024-04-23T11:57:48,228.95,226.8,0.06,228.95,36.65,36.31,-0.12,36.65,8390.0,8391.0,113.0,0.9999,0.77,nan,nan
2024-04-23T11:57:50,228.99,226.86,0.05,228.99,36.65,36.31,-0.12,36.65,8391.0,8392.0,111.0,0.9999,0.76,nan,nan
2024-04-23T11:57:51,228.86,226.64,0.05,228.86,36.62,36.27,-0.07,36.62,8381.0,8381.0,104.0,0.9999,0.71,nan,nan
2024-04-23T11:57:52,228.87,226.76,0.07,228.87,36.62,36.28,-0.14,36.62,8380.0,8381.0,103.0,0.9999,0.7,nan,nan
2024-04-23T11:57:53,228.95,226.86,0.03,228.95,36.63,36.3,-0.12,36.63,8386.0,8387.0,107.0,0.9999,0.73,nan,nan
