step,time,pv1_input_current_sum,pv1_input_current_avg,4000100388 output_source_priority,4000100388 charger_source_priority,4000100388 input_voltage_range,4000100388 ac_output_voltage,4000100388 ac_output_frequency,4000100388 max_ac_charging_current,4000100388 ac_input_current,4000100388 battery_charging_current,4000100388 ac_input_active_power,4000100388 ac_output_active_power,4000100388 pv1_input_current,4000100388 mode,4000100388 fault_mode,4000100237 output_source_priority,4000100237 charger_source_priority,4000100237 input_voltage_range,4000100237 ac_output_voltage,4000100237 ac_output_frequency,4000100237 max_ac_charging_current,4000100237 ac_input_current,4000100237 battery_charging_current,4000100237 ac_input_active_power,4000100237 ac_output_active_power,4000100237 pv1_input_current,4000100237 mode,4000100237 fault_mode
0,2024-04-23T13:37:05.258320,0.0,0.0,solar_utility_bat,solar_utility,appliance,230.0,50.0,30,0.0,0,4,7,0.0,B,48,solar_utility_bat,solar_utility,appliance,228.9,49.9,30,53.5,0,0,14,0.0,B,48
0,2024-04-23T13:37:07.095645,0.0,0.0,solar_utility_bat,solar_utility,appliance,230.0,50.0,30,0.0,0,0,40,0.0,B,48,solar_utility_bat,solar_utility,appliance,229.5,49.9,30,0.0,0,0,11,0.0,B,48
0,2024-04-23T13:37:08.974476,0.0,0.0,solar_utility_bat,solar_utility,appliance,230.0,50.0,30,0.0,0,0,40,0.0,B,48,solar_utility_bat,solar_utility,appliance,229.5,49.9,30,0.0,0,0,11,0.0,B,48
0,2024-04-23T13:37:10.613613,0.0,0.0,solar_utility_bat,solar_utility,appliance,230.3,50.0,30,0.0,0,0,21,0.0,B,48,solar_utility_bat,solar_utility,appliance,229.2,49.9,30,0.0,0,0,19,0.0,B,48
0,2024-04-23T13:37:12.356033,0.0,0.0,solar_utility_bat,solar_utility,appliance,230.3,50.0,30,0.0,0,0,21,0.0,B,48,solar_utility_bat,solar_utility,appliance,229.2,49.9,30,0.0,0,0,19,0.0,B,48
0,2024-04-23T13:37:14.201697,0.0,0.0,solar_utility_bat,solar_utility,appliance,230.3,50.0,30,0.0,0,0,21,0.0,B,48,solar_utility_bat,solar_utility,appliance,229.2,49.9,30,0.0,0,0,19,0.0,B,48
1,2024-04-23T13:37:17.555040,0.0,0.0,solar_utility_bat,solar_utility,appliance,230.1,50.0,30,0.0,0,0,78,0.0,B,48,solar_utility_bat,solar_utility,appliance,228.8,50.0,30,0.0,0,0,47,0.0,B,48
1,2024-04-23T13:37:19.159545,0.0,0.0,solar_utility_bat,solar_utility,appliance,230.1,50.0,30,0.0,0,0,78,0.0,B,48,solar_utility_bat,solar_utility,appliance,228.8,50.0,30,0.0,0,0,47,0.0,B,48
1,2024-04-23T13:37:20.793910,0.0,0.0,solar_utility_bat,solar_utility,appliance,230.1,50.0,30,0.0,0,0,4200,0.0,B,48,solar_utility_bat,solar_utility,appliance,229.0,50.0,30,0.0,0,0,4218,0.0,B,48
1,2024-04-23T13:37:22.456193,0.0,0.0,solar_utility_bat,solar_utility,appliance,230.1,50.0,30,0.0,0,0,4200,0.0,B,48,solar_utility_bat,solar_utility,appliance,229.0,50.0,30,0.0,0,0,4218,0.0,B,48
1,2024-04-23T13:37:24.202172,0.0,0.0,solar_utility_bat,solar_utility,appliance,230.1,50.0,30,0.0,0,0,4200,0.0,B,48,solar_utility_bat,solar_utility,appliance,229.0,50.0,30,0.0,0,0,4218,0.0,B,48
1,2024-04-23T13:37:25.972935,0.0,0.0,solar_utility_bat,solar_utility,appliance,230.1,50.0,30,0.0,0,0,4200,0.0,B,48,solar_utility_bat,solar_utility,appliance,229.4,50.0,30,0.0,0,0,4225,0.0,B,48
2,2024-04-23T13:37:28.907294,0.0,0.0,solar_utility_bat,solar_utility,appliance,230.1,50.0,30,0.0,0,0,4207,0.0,B,48,solar_utility_bat,solar_utility,appliance,229.3,50.0,30,0.0,0,0,4205,0.0,B,48
2,2024-04-23T13:37:30.681836,0.0,0.0,solar_utility_bat,solar_utility,appliance,230.0,50.0,30,0.0,0,0,4204,0.0,B,48,solar_utility_bat,solar_utility,appliance,229.3,50.0,30,0.0,0,0,4205,0.0,B,48
2,2024-04-23T13:37:32.284551,0.0,0.0,solar_utility_bat,solar_utility,appliance,230.0,50.0,30,0.0,0,0,4204,0.0,B,48,solar_utility_bat,solar_utility,appliance,229.3,50.0,30,0.0,0,0,4205,0.0,B,48
