step,time,pv1_input_current_sum,pv1_input_current_avg,4000100388 output_source_priority,4000100388 charger_source_priority,4000100388 input_voltage_range,4000100388 ac_output_voltage,4000100388 ac_output_frequency,4000100388 max_ac_charging_current,4000100388 ac_input_current,4000100388 battery_charging_current,4000100388 ac_input_active_power,4000100388 ac_output_active_power,4000100388 pv1_input_current,4000100388 mode,4000100388 fault_mode,4000100237 output_source_priority,4000100237 charger_source_priority,4000100237 input_voltage_range,4000100237 ac_output_voltage,4000100237 ac_output_frequency,4000100237 max_ac_charging_current,4000100237 ac_input_current,4000100237 battery_charging_current,4000100237 ac_input_active_power,4000100237 ac_output_active_power,4000100237 pv1_input_current,4000100237 mode,4000100237 fault_mode
4,2024-04-23T14:41:22.577918,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,2.4,8,492,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,5.6,20,1124,0,0.0,S,48
4,2024-04-23T14:41:24.073405,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,2.4,8,492,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,5.6,20,1124,0,0.0,S,48
4,2024-04-23T14:41:25.636096,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,2.4,8,492,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,5.6,19,1124,0,0.0,S,48
5,2024-04-23T14:41:29.500738,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,2.4,8,492,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,5.5,19,1117,0,0.0,S,48
5,2024-04-23T14:41:31.012321,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,2.4,8,492,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,5.3,19,1118,0,0.0,S,48
5,2024-04-23T14:41:32.560453,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,2.4,8,492,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,5.3,19,1118,0,0.0,S,48
5,2024-04-23T14:41:34.331396,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,2.3,8,496,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,5.3,19,1118,0,0.0,S,48
5,2024-04-23T14:41:36.023913,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,2.3,9,496,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,5.3,19,1118,0,0.0,S,48
5,2024-04-23T14:41:37.710570,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,2.3,9,496,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,5.3,19,1125,0,0.0,S,48
5,2024-04-23T14:41:39.240823,0.0,0.0,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,2.3,9,496,0,0.0,S,48,solar_utility_bat,solar_utility,appliance,0.0,0.0,30,5.3,19,1125,0,0.0,S,48
6,2024-04-23T14:41:42.589294,0.0,0.0,solar_utility_bat,solar_utility,appliance,208.4,44.9,30,18.9,8,3944,3449,0.0,L,48,solar_utility_bat,solar_utility,appliance,209.0,44.9,30,19.0,9,3984,3419,0.0,L,48
6,2024-04-23T14:41:44.412281,0.0,0.0,solar_utility_bat,solar_utility,appliance,218.2,45.0,30,19.4,9,4258,3781,0.0,L,48,solar_utility_bat,solar_utility,appliance,209.0,44.9,30,19.0,9,3984,3419,0.0,L,48
6,2024-04-23T14:41:46.016970,0.0,0.0,solar_utility_bat,solar_utility,appliance,218.2,45.0,30,19.4,9,4258,3781,0.0,L,48,solar_utility_bat,solar_utility,appliance,218.5,45.0,30,19.7,9,4318,3796,0.0,L,48
