Timestamp,URMS,UMN,UDC,UAC,IRMS,IMN,IDC,IAC,P,S,Q,LAMB,PHI,FU,FI
2024-04-23T13:58:23,0.0,0.0,0.07,0.0,1.1,1.06,-0.88,0.65,46.0,253.0,249.0,0.1823,79.5,nan,nan
2024-04-23T13:58:25,230.0,230.01,0.43,230.0,1.1,1.07,-0.89,0.65,44.0,253.0,250.0,0.1731,80.03,nan,nan
2024-04-23T13:58:26,230.0,230.01,0.44,230.0,1.1,1.07,-0.89,0.66,48.0,254.0,249.0,0.1892,79.1,nan,nan
2024-04-23T13:58:27,230.17,230.2,-0.07,230.17,1.12,1.09,-0.91,0.66,46.0,258.0,254.0,0.1786,79.71,nan,nan
2024-04-23T13:58:28,222.85,222.03,-0.34,222.85,1.11,1.08,-0.9,0.64,43.0,247.0,243.0,0.1759,79.87,nan,nan
2024-04-23T13:58:30,169.99,169.95,0.18,169.99,1.16,1.12,-0.92,0.71,45.0,198.0,192.0,0.2298,76.71,nan,nan
2024-04-23T13:58:31,169.99,169.99,0.35,169.99,1.25,1.17,-0.9,0.86,70.0,212.0,200.0,0.3321,70.6,nan,nan
2024-04-23T13:58:32,169.98,169.99,-0.05,169.98,1.36,1.26,-0.91,1.02,99.0,231.0,209.0,0.4299,64.54,nan,nan
2024-04-23T13:58:33,169.99,169.99,-0.06,169.99,1.43,1.3,-0.87,1.13,88.0,242.0,226.0,0.3644,68.63,nan,nan
2024-04-23T13:58:35,170.14,170.16,0.34,170.14,2.74,2.65,-0.91,2.59,54.0,467.0,464.0,0.1155,83.36,nan,nan
2024-04-23T13:58:36,170.01,170.01,0.21,170.01,2.78,2.69,-0.92,2.62,61.0,472.0,469.0,0.1281,82.64,nan,nan
2024-04-23T13:58:37,170.13,170.15,0.33,170.13,2.8,2.72,-0.9,2.65,69.0,476.0,471.0,0.1453,81.65,nan,nan
