Timestamp,URMS,UMN,UDC,UAC,IRMS,IMN,IDC,IAC,P,S,Q,LAMB,PHI,FU,FI
2024-04-15T15:39:34,229.21,229.28,-0.03,229.21,1.4,0.0,0.01,1.4,-34.0,320.0,318.0,-0.1076,96.18,nan,nan
2024-04-15T15:39:35,229.48,228.44,-0.07,229.48,36.89,36.77,-0.01,36.89,8455.0,8465.0,403.0,0.9989,2.73,nan,nan
2024-04-15T15:39:36,229.47,228.45,4.09,229.43,36.88,36.78,0.62,36.88,8453.0,8463.0,421.0,0.9988,2.85,nan,nan
2024-04-15T15:39:37,229.52,228.48,4.13,229.48,36.88,36.77,0.67,36.88,8454.0,8466.0,440.0,0.9987,2.98,nan,nan
2024-04-15T15:39:38,229.13,228.29,4.15,229.09,36.82,36.75,0.6,36.81,8424.0,8436.0,454.0,0.9986,3.08,nan,nan
2024-04-15T15:39:39,228.97,227.94,4.1,228.94,36.79,36.68,0.65,36.78,8412.0,8424.0,436.0,0.9987,2.97,nan,nan
2024-04-15T15:39:40,228.97,227.94,4.1,228.94,36.79,36.68,0.65,36.78,8412.0,8424.0,436.0,0.9987,2.97,nan,nan
2024-04-15T15:39:40,229.11,228.08,-0.05,229.11,36.8,36.69,-0.06,36.8,8421.0,8431.0,398.0,0.9989,2.71,nan,nan
2024-04-15T15:39:41,229.11,228.07,-0.02,229.11,36.79,36.69,-0.05,36.79,8420.0,8430.0,413.0,0.9988,2.81,nan,nan
2024-04-15T15:39:43,228.89,228.96,-0.07,228.89,36.56,36.58,0.01,36.56,8368.0,8369.0,57.0,1.0,0.39,nan,nan
2024-04-15T15:39:44,228.88,228.95,-0.07,228.88,36.56,36.57,0.03,36.56,8367.0,8367.0,32.0,1.0,0.22,nan,nan
2024-04-15T15:39:45,228.88,228.95,-0.07,228.88,36.56,36.57,0.04,36.55,8364.0,8364.0,36.0,1.0,0.25,nan,nan
2024-04-15T15:39:46,228.85,228.92,-0.08,228.85,36.55,36.56,0.04,36.55,8364.0,8364.0,36.0,1.0,0.25,nan,nan
2024-04-15T15:39:47,228.86,228.93,-0.07,228.86,36.54,36.56,0.03,36.54,8363.0,8363.0,39.0,1.0,0.27,nan,nan
2024-04-15T15:39:48,228.83,228.78,4.28,228.79,36.57,36.65,0.66,36.57,8361.0,8369.0,359.0,0.9991,2.46,nan,nan
2024-04-15T15:39:49,228.86,228.86,0.06,228.86,36.58,36.67,-0.03,36.58,8362.0,8372.0,401.0,0.9989,2.75,nan,nan
2024-04-15T15:39:50,228.9,228.94,-4.16,228.87,36.58,36.67,-0.68,36.57,8364.0,8373.0,378.0,0.999,2.58,nan,nan
2024-04-15T15:39:51,228.79,228.73,0.07,228.79,36.55,36.62,0.01,36.55,8355.0,8363.0,373.0,0.999,2.56,nan,nan
2024-04-15T15:39:52,228.79,228.73,0.09,228.79,36.55,36.62,-0.02,36.55,8355.0,8363.0,356.0,0.9991,2.44,nan,nan
2024-04-15T15:39:53,228.79,228.73,0.09,228.79,36.55,36.62,-0.02,36.55,8355.0,8363.0,356.0,0.9991,2.44,nan,nan
2024-04-15T15:39:54,228.89,228.93,-4.16,228.86,36.58,36.67,-0.7,36.57,8363.0,8372.0,397.0,0.9989,2.72,nan,nan
2024-04-15T15:39:55,228.78,228.72,4.25,228.74,36.55,36.63,0.66,36.54,8353.0,8362.0,393.0,0.9989,2.7,nan,nan
2024-04-15T15:39:56,228.78,228.76,4.28,228.74,36.53,36.61,0.67,36.53,8351.0,8358.0,340.0,0.9992,2.33,nan,nan
2024-04-15T15:39:57,228.81,228.98,-4.14,228.77,36.54,36.63,-0.67,36.54,8356.0,8362.0,311.0,0.9993,2.13,nan,nan
2024-04-15T15:39:58,228.5,228.58,0.02,228.5,36.47,36.56,-0.01,36.47,8327.0,8334.0,343.0,0.9992,2.36,nan,nan
2024-04-15T15:39:59,228.5,228.58,0.02,228.5,36.47,36.56,-0.01,36.47,8327.0,8334.0,343.0,0.9992,2.36,nan,nan
2024-04-15T15:40:00,228.6,228.78,-4.15,228.56,36.49,36.59,-0.67,36.48,8334.0,8342.0,353.0,0.9991,2.43,nan,nan
2024-04-15T15:40:01,228.57,228.72,0.05,228.57,36.48,36.58,-0.0,36.48,8332.0,8339.0,338.0,0.9992,2.33,nan,nan
2024-04-15T15:40:02,228.65,228.87,4.22,228.61,36.5,36.62,0.66,36.5,8337.0,8346.0,402.0,0.9988,2.76,nan,nan
2024-04-15T15:40:03,228.55,228.68,4.22,228.52,36.47,36.56,0.69,36.47,8329.0,8336.0,345.0,0.9991,2.37,nan,nan
2024-04-15T15:40:04,228.6,228.78,-4.14,228.57,36.48,36.58,-0.7,36.47,8332.0,8339.0,343.0,0.9992,2.36,nan,nan
2024-04-15T15:40:05,228.6,228.78,-4.14,228.57,36.48,36.58,-0.7,36.47,8332.0,8339.0,343.0,0.9992,2.36,nan,nan
2024-04-15T15:40:06,228.49,228.57,0.04,228.49,36.46,36.54,0.03,36.46,8323.0,8330.0,331.0,0.9992,2.28,nan,nan
2024-04-15T15:40:07,228.65,228.86,4.22,228.61,36.48,36.59,0.69,36.48,8334.0,8342.0,345.0,0.9991,2.37,nan,nan
2024-04-15T15:40:08,228.63,228.81,-4.16,228.59,36.48,36.58,-0.68,36.47,8332.0,8340.0,367.0,0.999,2.52,nan,nan
2024-04-15T15:40:09,228.6,228.76,0.06,228.6,36.47,36.56,0.0,36.47,8331.0,8337.0,318.0,0.9993,2.19,nan,nan
2024-04-15T15:40:10,212.46,203.44,4.72,212.4,34.04,32.66,0.73,34.03,7223.0,7231.0,348.0,0.9988,2.76,nan,nan
2024-04-15T15:40:11,229.6,228.66,6.08,229.52,36.82,36.72,0.97,36.81,8444.0,8454.0,406.0,0.9988,2.75,nan,nan
2024-04-15T15:40:12,229.62,228.7,1.65,229.62,36.81,36.71,0.25,36.81,8445.0,8452.0,349.0,0.9991,2.37,nan,nan
2024-04-15T15:40:13,229.62,228.7,1.65,229.62,36.81,36.71,0.25,36.81,8445.0,8452.0,349.0,0.9991,2.37,nan,nan
2024-04-15T15:40:14,229.49,228.44,5.52,229.42,36.78,36.66,0.86,36.77,8434.0,8441.0,344.0,0.9992,2.34,nan,nan
2024-04-15T15:40:15,229.48,228.44,-3.18,229.45,36.77,36.66,-0.53,36.77,8431.0,8438.0,356.0,0.9991,2.42,nan,nan
2024-04-15T15:40:16,229.48,228.44,4.87,229.43,36.79,36.67,0.77,36.78,8434.0,8442.0,369.0,0.999,2.51,nan,nan
2024-04-15T15:40:17,229.33,228.18,0.38,229.33,36.74,36.59,0.07,36.74,8419.0,8425.0,308.0,0.9993,2.1,nan,nan
2024-04-15T15:40:18,229.6,228.66,0.13,229.6,36.8,36.69,0.02,36.8,8441.0,8449.0,367.0,0.9991,2.49,nan,nan
2024-04-15T15:40:19,229.48,228.44,4.18,229.45,36.78,36.66,0.64,36.77,8431.0,8440.0,380.0,0.999,2.58,nan,nan
2024-04-15T15:40:20,229.48,228.44,4.18,229.45,36.78,36.66,0.64,36.77,8431.0,8442.0,387.0,0.999,2.62,nan,nan
2024-04-15T15:40:21,229.52,228.49,-0.05,229.52,36.78,36.67,-0.05,36.78,8434.0,8442.0,387.0,0.999,2.62,nan,nan
2024-04-15T15:40:22,229.45,228.41,-0.04,229.45,36.76,36.65,-0.03,36.76,8428.0,8434.0,332.0,0.9992,2.25,nan,nan
2024-04-15T15:40:23,229.48,228.44,-4.26,229.44,36.77,36.65,-0.73,36.76,8430.0,8437.0,363.0,0.9991,2.47,nan,nan
2024-04-15T15:40:24,229.46,228.43,-4.23,229.43,36.76,36.64,-0.68,36.76,8428.0,8436.0,359.0,0.9991,2.44,nan,nan
2024-04-15T15:40:25,229.49,228.45,-0.04,229.49,36.77,36.65,-0.01,36.77,8430.0,8439.0,399.0,0.9989,2.71,nan,nan
2024-04-15T15:40:26,229.32,228.17,-0.05,229.32,36.73,36.6,-0.03,36.73,8416.0,8423.0,364.0,0.9991,2.48,nan,nan
2024-04-15T15:40:27,229.32,228.17,-0.05,229.32,36.73,36.6,-0.03,36.73,8424.0,8434.0,398.0,0.9989,2.7,nan,nan
2024-04-15T15:40:28,229.44,228.4,-4.27,229.4,36.76,36.64,-0.7,36.75,8424.0,8434.0,398.0,0.9989,2.7,nan,nan
2024-04-15T15:40:29,229.44,228.4,-0.03,229.44,36.76,36.65,-0.05,36.76,8426.0,8435.0,379.0,0.999,2.58,nan,nan
2024-04-15T15:40:30,229.51,228.48,-0.07,229.51,36.77,36.65,-0.03,36.77,8431.0,8439.0,378.0,0.999,2.57,nan,nan
2024-04-15T15:40:31,229.28,228.12,-0.05,229.28,36.72,36.59,-0.02,36.72,8412.0,8420.0,360.0,0.9991,2.45,nan,nan
2024-04-15T15:40:32,229.47,228.44,-4.26,229.43,36.76,36.65,-0.7,36.75,8425.0,8436.0,415.0,0.9988,2.82,nan,nan
2024-04-15T15:40:33,229.47,228.43,4.15,229.43,36.76,36.65,0.62,36.75,8425.0,8435.0,395.0,0.9989,2.68,nan,nan
2024-04-15T15:40:34,229.47,228.43,4.15,229.43,36.76,36.65,0.62,36.75,8425.0,8435.0,395.0,0.9989,2.68,nan,nan
2024-04-15T15:40:35,229.47,228.44,4.11,229.44,36.75,36.62,0.64,36.74,8425.0,8432.0,349.0,0.9991,2.37,nan,nan
2024-04-15T15:40:36,229.46,228.43,4.12,229.42,36.76,36.64,0.64,36.75,8424.0,8434.0,416.0,0.9988,2.82,nan,nan
2024-04-15T15:40:37,229.44,228.41,-0.02,229.44,36.75,36.63,-0.04,36.75,8423.0,8431.0,369.0,0.999,2.51,nan,nan
2024-04-15T15:40:38,229.47,228.43,-4.24,229.43,36.74,36.63,-0.7,36.74,8424.0,8431.0,355.0,0.9991,2.42,nan,nan
2024-04-15T15:40:39,229.44,228.4,-4.26,229.4,36.74,36.63,-0.7,36.73,8420.0,8430.0,404.0,0.9989,2.75,nan,nan
2024-04-15T15:40:40,229.62,228.7,4.13,229.58,36.77,36.67,0.63,36.76,8434.0,8443.0,401.0,0.9989,2.72,nan,nan
2024-04-15T15:40:41,229.34,228.19,-0.02,229.34,36.71,36.58,-0.05,36.71,8412.0,8420.0,353.0,0.9991,2.41,nan,nan
2024-04-15T15:40:42,229.34,228.19,-0.02,229.34,36.71,36.58,-0.05,36.71,8412.0,8420.0,353.0,0.9991,2.41,nan,nan
2024-04-15T15:40:43,229.59,228.67,4.11,229.55,36.75,36.64,0.64,36.74,8430.0,8437.0,337.0,0.9992,2.29,nan,nan
2024-04-15T15:40:44,229.43,228.39,-0.07,229.43,36.73,36.61,-0.07,36.73,8419.0,8427.0,384.0,0.999,2.61,nan,nan
2024-04-15T15:40:45,229.38,228.24,-0.03,229.38,36.71,36.58,-0.05,36.71,8414.0,8421.0,347.0,0.9991,2.36,nan,nan
2024-04-15T15:40:46,229.44,228.4,4.22,229.4,36.72,36.6,0.62,36.71,8417.0,8424.0,347.0,0.9991,2.36,nan,nan
2024-04-15T15:40:47,222.15,221.26,0.29,222.15,35.59,35.52,-0.03,35.59,7894.0,7906.0,443.0,0.9984,3.21,nan,nan
2024-04-15T15:40:48,228.08,227.25,1.32,228.08,36.54,36.5,0.13,36.54,8321.0,8334.0,473.0,0.9984,3.25,nan,nan
2024-04-15T15:40:49,228.08,227.25,1.32,228.08,36.54,36.5,0.13,36.54,8321.0,8334.0,473.0,0.9984,3.25,nan,nan
2024-04-15T15:40:50,228.09,227.29,1.8,228.09,36.55,36.5,0.2,36.55,8321.0,8337.0,514.0,0.9981,3.54,nan,nan
2024-04-15T15:40:51,228.04,227.24,-2.49,228.03,36.53,36.48,-0.44,36.53,8315.0,8331.0,516.0,0.9981,3.55,nan,nan
2024-04-15T15:40:52,228.0,227.47,-2.92,227.98,36.59,36.61,-0.58,36.58,8313.0,8342.0,693.0,0.9965,4.77,nan,nan
2024-04-15T15:40:53,228.86,228.94,-0.03,228.86,36.44,36.45,0.01,36.44,8339.0,8339.0,27.0,1.0,0.19,nan,nan
2024-04-15T15:40:54,228.84,228.92,-0.07,228.84,36.43,36.44,0.0,36.43,8337.0,8337.0,47.0,1.0,0.32,nan,nan
2024-04-15T15:40:55,228.85,228.92,-0.08,228.85,36.43,36.44,0.0,36.43,8336.0,8337.0,66.0,1.0,0.45,nan,nan
2024-04-15T15:40:56,228.85,228.92,-0.08,228.85,36.43,36.44,0.0,36.43,8336.0,8337.0,66.0,1.0,0.45,nan,nan
2024-04-15T15:40:57,228.85,228.93,-0.04,228.85,36.42,36.44,-0.02,36.42,8335.0,8335.0,39.0,1.0,0.27,nan,nan
2024-04-15T15:40:58,228.98,229.06,-4.19,228.94,36.5,36.57,-0.73,36.49,8347.0,8357.0,419.0,0.9987,2.87,nan,nan
2024-04-15T15:40:59,228.85,228.82,0.02,228.85,36.52,36.62,-0.11,36.52,8338.0,8358.0,569.0,0.9977,3.9,nan,nan
2024-04-15T15:41:00,228.8,228.73,0.04,228.8,36.52,36.61,-0.1,36.52,8333.0,8355.0,606.0,0.9974,4.16,nan,nan
2024-04-15T15:41:01,228.82,228.75,0.07,228.82,36.49,36.59,-0.07,36.49,8333.0,8350.0,536.0,0.9979,3.68,nan,nan
2024-04-15T15:41:02,228.82,228.75,0.07,228.82,36.49,36.59,-0.07,36.49,8333.0,8350.0,536.0,0.998,3.63,nan,nan
2024-04-15T15:41:03,228.93,228.97,-4.17,228.89,36.51,36.62,-0.74,36.5,8342.0,8358.0,529.0,0.998,3.63,nan,nan
2024-04-15T15:41:04,228.84,228.81,4.22,228.8,36.5,36.59,0.58,36.49,8335.0,8352.0,542.0,0.9979,3.72,nan,nan
2024-04-15T15:41:05,228.88,228.88,0.05,228.88,36.51,36.62,-0.07,36.51,8337.0,8357.0,573.0,0.9976,3.93,nan,nan
2024-04-15T15:41:06,228.84,228.93,4.26,228.8,36.47,36.6,0.64,36.47,8336.0,8346.0,418.0,0.9987,2.87,nan,nan
2024-04-15T15:41:07,228.83,228.89,-4.19,228.79,36.51,36.63,-0.77,36.5,8334.0,8355.0,580.0,0.9976,3.98,nan,nan
2024-04-15T15:41:08,228.8,228.97,0.04,228.8,36.48,36.6,-0.04,36.48,8333.0,8347.0,480.0,0.9983,3.3,nan,nan
2024-04-15T15:41:09,228.8,228.97,0.04,228.8,36.48,36.6,-0.04,36.48,8337.0,8351.0,499.0,0.9982,3.42,nan,nan
2024-04-15T15:41:10,228.87,229.1,4.27,228.84,36.49,36.61,0.65,36.48,8337.0,8351.0,499.0,0.9982,3.42,nan,nan
2024-04-15T15:41:11,228.83,229.02,-4.17,228.79,36.48,36.6,-0.73,36.48,8334.0,8348.0,491.0,0.9983,3.37,nan,nan
2024-04-15T15:41:12,228.82,229.02,-4.19,228.79,36.49,36.61,-0.73,36.48,8333.0,8350.0,521.0,0.9981,3.58,nan,nan
2024-04-15T15:41:13,228.77,228.92,0.05,228.77,36.46,36.58,-0.04,36.46,8329.0,8341.0,451.0,0.9985,3.1,nan,nan
2024-04-15T15:41:14,228.79,228.95,0.05,228.79,36.48,36.59,-0.08,36.48,8331.0,8345.0,492.0,0.9983,3.38,nan,nan
2024-04-15T15:41:15,228.78,228.94,0.02,228.78,36.48,36.59,-0.09,36.47,8329.0,8345.0,521.0,0.9981,3.58,nan,nan
2024-04-15T15:41:16,228.78,228.94,0.02,228.78,36.48,36.59,-0.09,36.47,8329.0,8345.0,521.0,0.9981,3.58,nan,nan
2024-04-15T15:41:17,228.8,228.96,0.03,228.8,36.47,36.59,-0.06,36.47,8331.0,8344.0,467.0,0.9984,3.21,nan,nan
2024-04-15T15:41:18,228.8,228.96,0.06,228.8,36.47,36.59,-0.1,36.47,8330.0,8344.0,479.0,0.9984,3.29,nan,nan
2024-04-15T15:41:19,228.79,228.94,0.03,228.79,36.46,36.57,-0.07,36.46,8328.0,8342.0,480.0,0.9983,3.3,nan,nan
2024-04-15T15:41:20,228.83,229.02,-4.19,228.79,36.48,36.6,-0.75,36.47,8331.0,8347.0,513.0,0.9981,3.52,nan,nan
2024-04-15T15:41:21,228.83,227.85,-1.47,228.82,36.64,36.54,-0.28,36.64,8365.0,8385.0,570.0,0.9977,3.9,nan,nan
2024-04-15T15:41:22,228.95,227.98,2.41,228.93,36.66,36.57,0.32,36.66,8373.0,8393.0,579.0,0.9976,3.95,nan,nan
2024-04-15T15:41:23,228.95,227.98,2.41,228.93,36.66,36.57,0.32,36.66,8373.0,8393.0,579.0,0.9976,3.8,nan,nan
2024-04-15T15:41:24,229.06,228.09,6.27,228.98,36.67,36.59,0.95,36.66,8382.0,8400.0,557.0,0.9978,3.8,nan,nan
2024-04-15T15:41:25,228.93,227.99,-2.41,228.92,36.64,36.55,-0.41,36.64,8372.0,8388.0,512.0,0.9981,3.5,nan,nan
2024-04-15T15:41:26,228.06,227.14,1.27,228.06,36.56,36.49,0.12,36.56,8309.0,8338.0,694.0,0.9965,4.78,nan,nan
2024-04-15T15:41:27,228.15,227.3,-3.57,228.12,36.58,36.53,-0.65,36.58,8313.0,8346.0,746.0,0.996,5.13,nan,nan
2024-04-15T15:41:28,228.21,227.23,0.53,228.21,36.58,36.5,-0.02,36.58,8317.0,8349.0,722.0,0.9963,4.96,nan,nan
2024-04-15T15:41:29,228.54,227.78,4.54,228.49,36.59,36.55,0.65,36.58,8341.0,8362.0,592.0,0.9975,4.06,nan,nan
2024-04-15T15:41:30,228.54,227.78,4.54,228.49,36.59,36.55,0.65,36.58,8341.0,8362.0,592.0,0.9975,4.06,nan,nan
2024-04-15T15:41:31,228.48,227.59,0.26,228.48,36.61,36.54,-0.04,36.61,8337.0,8365.0,676.0,0.9967,4.63,nan,nan
2024-04-15T15:41:32,228.46,227.47,0.17,228.46,36.61,36.54,-0.03,36.61,8334.0,8363.0,695.0,0.9965,4.77,nan,nan
2024-04-15T15:41:33,228.58,227.81,4.36,228.54,36.6,36.57,0.6,36.59,8342.0,8366.0,629.0,0.9972,4.31,nan,nan
2024-04-15T15:41:34,228.6,227.89,4.28,228.56,36.62,36.59,0.63,36.61,8345.0,8371.0,668.0,0.9968,4.57,nan,nan
2024-04-15T15:41:35,228.66,227.95,4.22,228.62,36.63,36.6,0.54,36.62,8348.0,8375.0,664.0,0.9968,4.55,nan,nan
2024-04-15T15:41:36,228.45,227.51,0.12,228.45,36.6,36.53,-0.1,36.6,8331.0,8360.0,696.0,0.9965,4.78,nan,nan
2024-04-15T15:41:37,228.45,227.51,0.12,228.45,36.6,36.53,-0.1,36.6,8331.0,8360.0,696.0,0.9965,4.78,nan,nan
2024-04-15T15:41:38,228.62,227.92,0.08,228.62,36.61,36.58,-0.07,36.61,8343.0,8369.0,655.0,0.9969,4.49,nan,nan
2024-04-15T15:41:39,228.55,227.84,4.13,228.51,36.63,36.6,0.54,36.62,8340.0,8372.0,725.0,0.9962,4.97,nan,nan
2024-04-15T15:41:40,228.35,227.51,4.12,228.31,36.59,36.55,0.58,36.59,8325.0,8356.0,726.0,0.9962,4.98,nan,nan
2024-04-15T15:41:41,228.02,227.09,-0.09,228.02,36.55,36.47,-0.1,36.55,8300.0,8334.0,747.0,0.996,5.15,nan,nan
2024-04-15T15:41:42,228.29,227.59,4.14,228.25,36.57,36.55,0.58,36.56,8320.0,8347.0,671.0,0.9968,4.61,nan,nan
2024-04-15T15:41:43,228.29,227.59,4.09,228.24,36.57,36.54,0.56,36.57,8319.0,8349.0,700.0,0.9965,4.81,nan,nan
2024-04-15T15:41:44,228.28,227.57,4.09,228.24,36.57,36.54,0.56,36.57,8319.0,8349.0,700.0,0.9965,4.81,nan,nan
2024-04-15T15:41:45,228.4,227.57,-4.12,228.36,36.56,36.51,-0.76,36.56,8327.0,8351.0,634.0,0.9971,4.36,nan,nan
2024-04-15T15:41:46,228.1,227.15,0.08,228.1,36.52,36.46,-0.08,36.52,8303.0,8329.0,653.0,0.9969,4.5,nan,nan
2024-04-15T15:41:47,228.46,227.64,0.12,228.46,36.6,36.56,-0.11,36.6,8331.0,8361.0,708.0,0.9964,4.86,nan,nan
2024-04-15T15:41:48,228.53,227.58,0.04,228.53,36.6,36.54,-0.13,36.6,8334.0,8364.0,707.0,0.9964,4.85,nan,nan
2024-04-15T15:41:49,228.44,227.5,0.06,228.44,36.58,36.51,-0.09,36.58,8329.0,8355.0,664.0,0.9968,4.56,nan,nan
2024-04-15T15:41:50,228.44,227.5,0.06,228.44,36.58,36.51,-0.09,36.58,8329.0,8355.0,664.0,0.9968,4.56,nan,nan
2024-04-15T15:41:51,228.5,227.65,0.14,228.5,36.59,36.53,-0.07,36.59,8331.0,8361.0,701.0,0.9965,4.81,nan,nan
2024-04-15T15:41:52,228.53,227.69,-4.13,228.49,36.55,36.5,-0.75,36.54,8332.0,8352.0,579.0,0.9976,3.98,nan,nan
2024-04-15T15:41:53,228.75,228.03,-4.1,228.71,36.64,36.6,-0.74,36.63,8350.0,8380.0,711.0,0.9964,4.86,nan,nan
2024-04-15T15:41:54,228.41,227.59,-0.04,228.41,36.55,36.52,-0.12,36.55,8325.0,8349.0,638.0,0.9971,4.39,nan,nan
